,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
1156,2022021159,9,1,Ottawa Senators,New Jersey Devils,3,5
1157,2022021160,10,12,Toronto Maple Leafs,Carolina Hurricanes,3,5
1158,2022021161,23,25,Vancouver Canucks,Dallas Stars,3,1
1159,2022021162,15,5,Washington Capitals,Pittsburgh Penguins,3,4
1160,2022021163,54,22,Vegas Golden Knights,Edmonton Oilers,4,3
1161,2022021164,19,24,St. Louis Blues,Anaheim Ducks,6,3
1162,2022021165,21,53,Colorado Avalanche,Arizona Coyotes,4,3
1163,2022021166,6,12,Boston Bruins,Carolina Hurricanes,4,3
1164,2022021167,10,18,Toronto Maple Leafs,Nashville Predators,3,2
1165,2022021168,23,16,Vancouver Canucks,Chicago Blackhawks,4,2
1166,2022021169,19,26,St. Louis Blues,Los Angeles Kings,6,7
1167,2022021170,13,9,Florida Panthers,Ottawa Senators,2,5
1168,2022021171,8,7,Montréal Canadiens,Buffalo Sabres,4,3
1169,2022021172,1,2,New Jersey Devils,New York Islanders,1,5
1170,2022021173,55,30,Seattle Kraken,Minnesota Wild,1,5
1171,2022021174,21,24,Colorado Avalanche,Anaheim Ducks,5,1
1172,2022021175,22,53,Edmonton Oilers,Arizona Coyotes,5,4
1173,2022021176,29,3,Columbus Blue Jackets,New York Rangers,2,6
1174,2022021177,8,4,Montréal Canadiens,Philadelphia Flyers,2,3
1175,2022021178,18,6,Nashville Predators,Boston Bruins,2,1
1176,2022021179,14,12,Tampa Bay Lightning,Carolina Hurricanes,4,0
1177,2022021180,5,17,Pittsburgh Penguins,Detroit Red Wings,4,7
1178,2022021181,23,19,Vancouver Canucks,St. Louis Blues,5,6
1179,2022021182,25,16,Dallas Stars,Chicago Blackhawks,4,1
1180,2022021183,26,20,Los Angeles Kings,Calgary Flames,1,2
1181,2022021184,22,54,Edmonton Oilers,Vegas Golden Knights,7,4
1182,2022021185,52,28,Winnipeg Jets,San Jose Sharks,0,3
1183,2022021186,13,10,Florida Panthers,Toronto Maple Leafs,3,2
1184,2022021187,2,15,New York Islanders,Washington Capitals,2,1
1185,2022021188,30,21,Minnesota Wild,Colorado Avalanche,4,2
1186,2022021189,29,6,Columbus Blue Jackets,Boston Bruins,1,2
1187,2022021190,13,8,Florida Panthers,Montréal Canadiens,5,2
1188,2022021191,3,1,New York Rangers,New Jersey Devils,1,2
1189,2022021192,18,5,Nashville Predators,Pittsburgh Penguins,0,2
1190,2022021193,4,9,Philadelphia Flyers,Ottawa Senators,4,5
1191,2022021194,15,14,Washington Capitals,Tampa Bay Lightning,1,5
1192,2022021195,12,17,Carolina Hurricanes,Detroit Red Wings,2,3
1193,2022021196,19,16,St. Louis Blues,Chicago Blackhawks,5,3
1194,2022021197,26,22,Los Angeles Kings,Edmonton Oilers,0,2
1195,2022021198,24,55,Anaheim Ducks,Seattle Kraken,1,4
1196,2022021199,54,28,Vegas Golden Knights,San Jose Sharks,3,4
1197,2022021200,3,7,New York Rangers,Buffalo Sabres,2,3
1198,2022021201,17,52,Detroit Red Wings,Winnipeg Jets,2,6
1199,2022021202,20,23,Calgary Flames,Vancouver Canucks,5,4
1200,2022021203,25,53,Dallas Stars,Arizona Coyotes,5,2
1201,2022021204,19,18,St. Louis Blues,Nashville Predators,1,6
1202,2022021205,6,5,Boston Bruins,Pittsburgh Penguins,4,3
